asset_ticker,variant,window,eta,book_type,n_backtest_days,target_exceedance_alpha,exceedance_rate,abs_exceedance_gap,avg_violation,avg_pinball_loss,max_roll50_exceedance,avg_delta,median_delta,warmup_or_default_share
QQQ,W126_eta000,126,0.0,atm_straddle_30d,1484,0.1,0.10444743935309973,0.0044474393530997275,0.004971414673141347,0.02189676187871243,0.24,0.05549716782528771,0.0599428812954447,0.02021563342318059
QQQ,W126_eta000,126,0.0,risk_reversal_25d_30d,1497,0.1,0.10821643286573146,0.008216432865731454,0.004433427499783474,0.01037461399127204,0.22,0.013430957512068903,0.013170108964039896,0.02004008016032064
QQQ,W126_eta000,126,0.0,short_put_spread_25delta_10delta_30d,988,0.1,0.09817813765182186,0.0018218623481781465,0.003190943999532548,0.007709785904055985,0.22,0.016799512053348144,0.017025936678315298,0.030364372469635626
QQQ,W126_eta001_main,126,0.01,atm_straddle_30d,1484,0.1,0.10579514824797843,0.005795148247978429,0.004949351561944897,0.021908592624913372,0.22,0.055836106399261606,0.060140708541954996,0.02021563342318059
QQQ,W126_eta001_main,126,0.01,risk_reversal_25d_30d,1497,0.1,0.10754843019372078,0.00754843019372077,0.004390381578430544,0.010335772296048935,0.2,0.013453163133280401,0.013170108964039896,0.02004008016032064
QQQ,W126_eta001_main,126,0.01,short_put_spread_25delta_10delta_30d,988,0.1,0.10526315789473684,0.005263157894736831,0.003226710008062102,0.00771348817407942,0.2,0.016478874668286958,0.01556808389089143,0.030364372469635626
QQQ,W126_eta003,126,0.03,atm_straddle_30d,1484,0.1,0.10512129380053908,0.0051212938005390785,0.005027476724940499,0.022070943276487225,0.2,0.05667836128504411,0.0599428812954447,0.02021563342318059
QQQ,W126_eta003,126,0.03,risk_reversal_25d_30d,1497,0.1,0.11088844355377421,0.010888443553774205,0.004390737287715478,0.01034566212100788,0.2,0.013527668587376737,0.012677681662083199,0.02004008016032064
QQQ,W126_eta003,126,0.03,short_put_spread_25delta_10delta_30d,988,0.1,0.11032388663967611,0.010323886639676108,0.003294708574579071,0.007780121414630524,0.2,0.016459154805848926,0.015173175073221901,0.030364372469635626
QQQ,W252_eta001,252,0.01,atm_straddle_30d,1484,0.1,0.10714285714285714,0.007142857142857131,0.0050634018010600745,0.02197822155680861,0.22,0.055391893327062194,0.060698015401743105,0.02021563342318059
QQQ,W252_eta001,252,0.01,risk_reversal_25d_30d,1497,0.1,0.1062124248496994,0.006212424849699388,0.004445704405080978,0.010333466892696309,0.22,0.012938798382920294,0.013170108964039896,0.02004008016032064
QQQ,W252_eta001,252,0.01,short_put_spread_25delta_10delta_30d,988,0.1,0.10020242914979757,0.0002024291497975672,0.003229108997410259,0.007698299859782219,0.2,0.01630300163183337,0.0160840188439551,0.030364372469635626
QQQ,W63_eta001,63,0.01,atm_straddle_30d,1484,0.1,0.10646900269541779,0.00646900269541778,0.00505416461367416,0.02210019694082776,0.18,0.05670401904111284,0.0599428812954447,0.02021563342318059
QQQ,W63_eta001,63,0.01,risk_reversal_25d_30d,1497,0.1,0.10821643286573146,0.008216432865731454,0.004475039043773852,0.01043122109084038,0.2,0.013485351687343031,0.011869941383847102,0.02004008016032064
QQQ,W63_eta001,63,0.01,short_put_spread_25delta_10delta_30d,988,0.1,0.11032388663967611,0.010323886639676108,0.00335506490298948,0.007877309435306883,0.22,0.016833379051124232,0.013905159477086801,0.030364372469635626
SPX,W126_eta000,126,0.0,atm_straddle_30d,1077,0.1,0.11234911792014857,0.012349117920148561,0.007483746057305515,0.025157492118278738,0.24,0.04065272870644492,0.0357726495075473,0.027855153203342618
SPX,W126_eta000,126,0.0,risk_reversal_25d_30d,1106,0.1,0.09945750452079566,0.0005424954792043468,0.040064698613871984,0.08550201683538732,0.22,0.06812122693564733,0.0069086662011162,0.027124773960216998
SPX,W126_eta000,126,0.0,short_put_spread_25delta_10delta_30d,978,0.1,0.1032719836400818,0.003271983640081799,0.003367263973277961,0.010183556581749608,0.28,0.011237370800757134,0.011451798361120999,0.03067484662576687
SPX,W126_eta001_main,126,0.01,atm_straddle_30d,1077,0.1,0.11142061281337047,0.011420612813370465,0.007293724261825691,0.02534568507568881,0.24,0.0444348762353439,0.036348007689607026,0.027855153203342618
SPX,W126_eta001_main,126,0.01,risk_reversal_25d_30d,1106,0.1,0.09855334538878843,0.001446654611211573,0.03974575020542613,0.08500190421820901,0.22,0.06629829103965204,0.0066441703455981,0.027124773960216998
SPX,W126_eta001_main,126,0.01,short_put_spread_25delta_10delta_30d,978,0.1,0.1083844580777096,0.0083844580777096,0.0033854290792019576,0.01018455350424339,0.26,0.011050362056713189,0.010954489244762581,0.03067484662576687
SPX,W126_eta003,126,0.03,atm_straddle_30d,1077,0.1,0.1095636025998143,0.0095636025998143,0.006923450673521152,0.0252112813521004,0.22,0.046793574882505205,0.037546768774107106,0.027855153203342618
SPX,W126_eta003,126,0.03,risk_reversal_25d_30d,1106,0.1,0.09764918625678119,0.002350813743218813,0.03742175091125265,0.08575487693342033,0.2,0.0969752812066147,0.0066441703455981,0.027124773960216998
SPX,W126_eta003,126,0.03,short_put_spread_25delta_10delta_30d,978,0.1,0.1114519427402863,0.011451942740286297,0.0033485141350564425,0.010176037161901675,0.22,0.011303662781996288,0.009820861553926162,0.03067484662576687
SPX,W252_eta001,252,0.01,atm_straddle_30d,1077,0.1,0.11234911792014857,0.012349117920148561,0.007501471585297946,0.025110634368069214,0.24,0.04000689592442537,0.037546768774107106,0.027855153203342618
SPX,W252_eta001,252,0.01,risk_reversal_25d_30d,1106,0.1,0.1003616636528029,0.00036166365280289325,0.04166066795895613,0.08477123396425908,0.22,0.04486836995126967,0.007387405431720895,0.027124773960216998
SPX,W252_eta001,252,0.01,short_put_spread_25delta_10delta_30d,978,0.1,0.10633946830265849,0.0063394683026584825,0.0033819398464854243,0.010149392281887647,0.24,0.01077389398566436,0.011225763364997199,0.03067484662576687
SPX,W63_eta001,63,0.01,atm_straddle_30d,1077,0.1,0.10770659238625813,0.007706592386258121,0.006979504479575946,0.025456253808211864,0.24,0.04868276138307187,0.04093977041409999,0.027855153203342618
SPX,W63_eta001,63,0.01,risk_reversal_25d_30d,1106,0.1,0.09945750452079566,0.0005424954792043468,0.034783151018477544,0.08449879927638829,0.2,0.11073400211589253,0.0058136150740265,0.027124773960216998
SPX,W63_eta001,63,0.01,short_put_spread_25delta_10delta_30d,978,0.1,0.10940695296523517,0.009406952965235166,0.003334516358343568,0.01020804133776121,0.26,0.011745188261555597,0.011225763364997199,0.03067484662576687
