asset_ticker,variant,window,eta,n_books,max_abs_exceedance_gap_across_books,mean_abs_exceedance_gap_across_books,max_roll50_exceedance_across_books,book_mean_avg_violation,book_mean_pinball_loss
QQQ,W126_eta000,126,0.0,3,0.008216432865731454,0.004828578189003109,0.24,0.004198595390819123,0.013327053924680152
QQQ,W126_eta001_main,126,0.01,3,0.00754843019372077,0.006202245445478677,0.22,0.004188814382812514,0.013319284365013909
QQQ,W126_eta003,126,0.03,3,0.010888443553774205,0.00877787466466313,0.2,0.004237640862411682,0.013398908937375211
QQQ,W252_eta001,252,0.01,3,0.007142857142857131,0.004519237047451362,0.22,0.004246071734517104,0.013336662769762378
QQQ,W63_eta001,63,0.01,3,0.010323886639676108,0.008336440733608447,0.22,0.004294756186812497,0.013469575822325006
SPX,W126_eta000,126,0.0,3,0.012349117920148561,0.005387865679811569,0.28,0.016971902881485153,0.04028102184513855
SPX,W126_eta001_main,126,0.01,3,0.011420612813370465,0.007083908500763879,0.26,0.01680830118215126,0.04017738093271374
SPX,W126_eta003,126,0.03,3,0.011451942740286297,0.00778878636110647,0.22,0.015897905239943416,0.040380731815807466
SPX,W252_eta001,252,0.01,3,0.012349117920148561,0.006350083291869979,0.24,0.0175146931302465,0.04001042020473865
SPX,W63_eta001,63,0.01,3,0.009406952965235166,0.005885346943565878,0.26,0.015032390618799019,0.040054364807453786
