feature_index,feature_col,feature_block,is_realized_current_marking_diagnostic,is_lagged_marking_feature
0,atm30,state,0,0
1,atm60,state,0,0
2,atm90,state,0,0
3,skew30,state,0,0
4,skew60,state,0,0
5,skew90,state,0,0
6,term30_90,state,0,0
7,left_minus_center30,state,0,0
8,curvature30,state,0,0
9,avg_oi,state,0,0
10,avg_vol,state,0,0
11,avg_spread,state,0,0
12,vix,state,0,0
13,vxv,state,0,0
14,vix_minus_vxv,state,0,0
15,ret,state,0,0
16,abs_ret,state,0,0
17,rv5,state,0,0
18,rv21,state,0,0
19,drawdown60,state,0,0
20,downside_semivar21,state,0,0
21,atm30_chg1,state,0,0
22,skew30_chg1,state,0,0
23,term30_90_chg1,state,0,0
24,vix_chg1,state,0,0
25,vxv_chg1,state,0,0
26,vix_minus_vxv_chg1,state,0,0
27,jump_proxy,state,0,0
28,gross_premium_t,book_or_surface_descriptor,0,0
29,net_premium_t,book_or_surface_descriptor,0,0
30,gross_option_vega_t,book_or_surface_descriptor,0,0
31,gross_spot_hedge_notional_t,book_or_surface_descriptor,0,0
32,normalizer_t,book_or_surface_descriptor,0,0
33,option_net_delta_pre_hedge_t,book_or_surface_descriptor,0,0
34,option_abs_delta_pre_hedge_t,book_or_surface_descriptor,0,0
35,stock_hedge_weight_t,book_or_surface_descriptor,0,0
36,book_net_delta_t,book_or_surface_descriptor,0,0
37,book_abs_delta_t,book_or_surface_descriptor,0,0
38,book_net_vega_t,book_or_surface_descriptor,0,0
39,book_abs_vega_t,book_or_surface_descriptor,0,0
40,book_avg_dte_t,book_or_surface_descriptor,0,0
41,book_avg_abs_k_t,book_or_surface_descriptor,0,0
42,n_legs,book_or_surface_descriptor,0,0
43,n_option_legs,book_or_surface_descriptor,0,0
44,leg1_mid_t,book_or_surface_descriptor,0,0
45,leg2_mid_t,book_or_surface_descriptor,0,0
46,leg1_iv_t,book_or_surface_descriptor,0,0
47,leg2_iv_t,book_or_surface_descriptor,0,0
48,leg1_delta_t,book_or_surface_descriptor,0,0
49,leg2_delta_t,book_or_surface_descriptor,0,0
50,leg1_vega_t,book_or_surface_descriptor,0,0
51,leg2_vega_t,book_or_surface_descriptor,0,0
52,leg1_abs_k_t,book_or_surface_descriptor,0,0
53,leg2_abs_k_t,book_or_surface_descriptor,0,0
54,book_iv_mean_t,book_or_surface_descriptor,0,0
55,book_iv_spread_t,book_or_surface_descriptor,0,0
56,mark_exact_count_lag1,lagged_marking_diagnostic,0,1
57,mark_contract_count_lag1,lagged_marking_diagnostic,0,1
58,mark_interp_count_lag1,lagged_marking_diagnostic,0,1
59,mark_nearest_count_lag1,lagged_marking_diagnostic,0,1
60,mark_fallback_count_lag1,lagged_marking_diagnostic,0,1
61,mark_proxy_count_lag1,lagged_marking_diagnostic,0,1
62,mark_exact_rate_5,lagged_marking_diagnostic,0,1
63,mark_contract_rate_5,lagged_marking_diagnostic,0,1
64,mark_interp_rate_5,lagged_marking_diagnostic,0,1
65,mark_nearest_rate_5,lagged_marking_diagnostic,0,1
66,mark_fallback_rate_5,lagged_marking_diagnostic,0,1
67,mark_proxy_rate_5,lagged_marking_diagnostic,0,1
68,mark_exact_rate_21,lagged_marking_diagnostic,0,1
69,mark_contract_rate_21,lagged_marking_diagnostic,0,1
70,mark_interp_rate_21,lagged_marking_diagnostic,0,1
71,mark_nearest_rate_21,lagged_marking_diagnostic,0,1
72,mark_fallback_rate_21,lagged_marking_diagnostic,0,1
73,mark_proxy_rate_21,lagged_marking_diagnostic,0,1
74,loss_lag1,lagged_loss,0,0
75,loss_mean_5,lagged_loss,0,0
76,loss_std_5,lagged_loss,0,0
77,loss_mean_21,lagged_loss,0,0
78,loss_std_21,lagged_loss,0,0
